idproduct,idcategory
1,1
65,1
92,1
207,1
424,1
429,1
2359,1
2680,1
2682,1
2894,1
4588,1
4881,1
5119,1
7410,1
7486,1
7701,1
8348,1
8574,1
8606,1
8633,1
9093,1
9225,1
9333,1
9469,1
9596,1
9600,1
12374,1
12386,1
12457,1
12460,1
12492,1
12520,1
12645,1
12660,1
12664,1
12667,1
12669,1
12675,1
12695,1
12702,1
12705,1
12709,1
12775,1
12778,1
12849,1
13927,1
13928,1
13929,1
13942,1
13949,1
13962,1
14109,1
14197,1
16489,1
16595,1
16630,1
16660,1
16669,1
16688,1
17532,1
17576,1
17594,1
17800,1
17802,1
17815,1
17903,1
18829,1
19529,1
19686,1
20005,1
20027,1
20251,1
20273,1
20290,1
20480,1
21981,1
22666,1
22668,1
22669,1
24159,1
24173,1
24214,1
24372,1
25401,1
25413,1
25594,1
26593,1
26652,1
27482,1
27952,1
27953,1
28286,1
28303,1
28314,1
30600,1
31174,1
31178,1
31195,1
31216,1
31395,1
31397,1
31400,1
34567,1
34630,1
34675,1
34708,1
35183,1
35184,1
35185,1
35186,1
35187,1
35231,1
41483,1
41541,1
44111,1
46362,1
46521,1
46751,1
52542,1
52798,1
52800,1
52802,1
52803,1
52804,1
52810,1
53125,1
53172,1
53173,1
53187,1
53188,1
53203,1
53205,1
53213,1
53235,1
53255,1
53271,1
53272,1
53273,1
53274,1
53276,1
53280,1
53286,1
53302,1
53320,1
53323,1
53343,1
53344,1
53362,1
53414,1
53481,1
53482,1
55151,1
55184,1
55202,1
55253,1
55344,1
55939,1
55977,1
56476,1
56502,1
57407,1
57431,1
60394,1
60408,1
61948,1
62056,1
62060,1
62064,1
62146,1
62160,1
62165,1
62167,1
62173,1
62185,1
62269,1
62284,1
62292,1
62306,1
62308,1
62317,1
62358,1
62361,1
62382,1
62396,1
62412,1
62449,1
62452,1
62464,1
62519,1
62527,1
62528,1
62577,1
62582,1
62647,1
62653,1
62671,1
62673,1
62715,1
62718,1
62723,1
62751,1
62760,1
62765,1
62776,1
62852,1
62855,1
62857,1
62870,1
62889,1
62902,1
62922,1
62923,1
62937,1
62940,1
62948,1
62950,1
62956,1
62960,1
62968,1
62976,1
62984,1
62995,1
63004,1
63013,1
63015,1
63017,1
63032,1
63035,1
63051,1
63058,1
63062,1
63065,1
63074,1
63080,1
63127,1
63128,1
